City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Horsham,GB,2022-11-09 18:16:55,51.064,-0.3272,55.63,84,0,4.61
282,Guymon,US,2022-11-09 18:16:43,36.6828,-101.4816,66.2,72,100,26.46
283,Jalu,LY,2022-11-09 18:16:57,29.0331,21.5482,68.32,49,7,8.08
284,Huilong,CN,2022-11-09 18:16:57,31.8111,121.655,63.93,96,13,7.25
285,Fort Nelson,CA,2022-11-09 18:16:57,58.8053,-122.7002,-0.06,100,20,8.01
286,Jinxiang,CN,2022-11-09 18:16:58,27.4327,120.6062,67.91,89,99,6.13
287,Shingu,JP,2022-11-09 18:13:39,33.7333,135.9833,52.57,71,0,5.68
288,Dinguiraye,GN,2022-11-09 18:16:59,11.3,-10.7167,79.2,32,60,3.36
289,Bogorodskoye,RU,2022-11-09 18:16:59,56.55,37.8833,46.31,91,100,11.3
290,Alofi,NU,2022-11-09 18:16:59,-19.0595,-169.9187,76.37,74,61,21.41
291,Zaysan,KZ,2022-11-09 18:17:00,47.4667,84.8667,27.09,73,82,6.55
